"","Dealer","Parts_City","Parts_Province","Parts_City_and_Province","Parts_Postal_Code","Parts_Phone_Num","Parts_Fax_Num","F","Lang","LastName1","FistName1","LastName2","FistName2","LastName3","FistName3","LastName4","FistName4","LastName5","FistName5","LastName6","FistName6","LastName7","FistName7","LastName8","FistName8","LastName9","FistName9"
"27","24021","Moose Jaw           ","SK ","Moose Jaw           SK ","S6J 1L6","(306) 694-1355","(306) 694-4727","T","E","Gallaugher"," Russell",,,,,,,,,,,,,,,,
"28","24022","Yorkton             ","SK ","Yorkton             SK ","S3N 4C5","(306) 782-2233","(306) 782-2315","T","E","Eckhart"," Justin",,,,,,,,,,,,,,,,
"29","34019","Brandon             ","MB ","Brandon             MB ","R7A 6Z2","(204) 725-0508","(204) 725-1690","T","E","Byers"," Derek",,,,,,,,,,,,,,,,
"30","34027","Winnipeg            ","MB ","Winnipeg            MB ","R3T 6A9","(204) 269-1572","(204) 269-1636","T","E","Kryger"," Ron","Warren"," Dylan",,,,,,,,,,,,,,
"31","42022","St Catharines       ","ON ","St Catharines       ON ","L2N 4H1","(905) 934-3336","(905) 937-7296","T","E","Clement"," Eric",,,,,,,,,,,,,,,,
"32","42051","Vaughan             ","ON ","Vaughan             ON ","L4K 0A1","(905) 761-5133","(905) 761-8656","T","E","Winchur"," Steven","Bettencourt"," James",,,,,,,,,,,,,,
"33","42076","London              ","ON ","London              ON ","N6L 1J9","(519) 680-1800","(519) 686-0153","T","E","Engelmanas"," Peter","Engelmanas"," Peter",,,,,,,,,,,,,,
"34","42099","Goderich            ","ON ","Goderich            ON ","N7A 3A3","(519) 524-9381","(519) 524-7123","T","E","Elliott"," Luke",,,,,,,,,,,,,,,,
"35","42120","Markham             ","ON ","Markham             ON ","L3R 1G9","(905) 475-0722","(905) 475-8044","T","E","Ng"," Jackie","Libanio"," Brandon","Tetreault"," Paul","Lo"," Gordon","Kong"," Joshua","Lai"," Ching","Keshavjee"," Amin","Drilon"," Sergio","Mudita"," Andrew"
"36","42127","Hamilton            ","ON ","Hamilton            ON ","L8E 2W8","(905) 561-1202","(905) 561-4881","T","E","Page"," Stephanie","Brooks"," John",,,,,,,,,,,,,,
"37","42155","Thunder Bay         ","ON ","Thunder Bay         ON ","P7B 0A7","(807) 623-8842","(807) 623-5197","T","E","Varga"," Courtney",,,,,,,,,,,,,,,,
"38","42159","Ottawa              ","ON ","Ottawa              ON ","K1V 7Z6","(613) 523-8666","(613) 523-8264","T","E","RAEES"," IQRA","GODDING"," OCTAVIAN",,,,,,,,,,,,,,
"39","42168","Ottawa              ","ON ","Ottawa              ON ","K1K 1G4","(613) 741-3270","(613) 741-3507","T","E","Woodside"," Scott",,,,,,,,,,,,,,,,
"40","42169","Chatham             ","ON ","Chatham             ON ","N7M 1P6","(519) 352-4740","(519) 352-4753","T","E","Marchand"," Kyle",,,,,,,,,,,,,,,,
"41","42172","Kingston            ","ON ","Kingston            ON ","K7M 4Y3","(613) 384-4772","(613) 384-9592","T","E","Richmond"," Kim",,,,,,,,,,,,,,,,
"42","42189","Owen Sound          ","ON ","Owen Sound          ON ","N4K 6K6","(519) 371-2981","(519) 371-1435","T","E","Dixon"," James",,,,,,,,,,,,,,,,
"43","42302","Cobourg             ","ON ","Cobourg             ON ","K9A 4K8","(905) 372-5437","(905) 372-4201","T","E","dobos"," diane","Pearce"," Shari",,,,,,,,,,,,,,
"44","42319","Whitby              ","ON ","Whitby              ON ","L1P 1Z1","(905) 668-4792","(905) 430-7874","T","E","AGARD"," BURT","CRAMER"," FRED",,,,,,,,,,,,,,
"45","42327","Renfrew             ","ON ","Renfrew             ON ","K7V 3Z8","(613) 432-3748","(613) 432-6409","T","E","DUBEAU"," MARY",,,,,,,,,,,,,,,,
"46","42328","Richmond Hill       ","ON ","Richmond Hill       ON ","L4S 1K9","(905) 889-1189","(905) 889-0259","T","E","Nazemi"," Morteza (Sam)",,,,,,,,,,,,,,,,
"47","42329","Sault Ste Marie     ","ON ","Sault Ste Marie     ON ","P6A 5K7","(705) 256-6266","(705) 256-8227","T","E","JOHNSON"," CRAIG",,,,,,,,,,,,,,,,
"48","42335","Milton              ","ON ","Milton              ON ","L9T 0K2","(905) 875-1700","(905) 875-1516","T","E","Alvardshahi"," Jack",,,,,,,,,,,,,,,,
"49","42340","Toronto             ","ON ","Toronto             ON ","M5V 1B8","(416) 703-7700","(416) 703-5712","T","E","ASSING"," JALLONE",,,,,,,,,,,,,,,,
"50","42342","Mississauga         ","ON ","Mississauga         ON ","L5L 3R2","(905) 828-7711","(905) 828-0617","T","E","Freeman"," Andrew","Silveira"," Kevin",,,,,,,,,,,,,,
"51","42347","Kanata              ","ON ","Kanata              ON ","K2V 1E2","(613) 271-8200","(613) 271-9550","T","E","Lafontaine"," Mathew","Dervisevic"," Elvis",,,,,,,,,,,,,,
"52","42360","Stouffville         ","ON ","Stouffville         ON ","L4A 0W7","(905) 642-6688","(905) 642-1861","T","E","Tung"," Howard","Cao"," Tony",,,,,,,,,,,,,,
"53","42363","New Liskeard        ","ON ","New Liskeard        ON ","P0J 1P0","(705) 647-5959","(705) 647-5962","T","E","Guillemette"," Alex",,,,,,,,,,,,,,,,
"54","42368","Scarborough         ","ON ","Scarborough         ON ","M1L 2L6","(416) 751-1530","(413) 752-0201","T","E","Samnani2"," Aziz",,,,,,,,,,,,,,,,
"55","42369","Toronto             ","ON ","Toronto             ON ","M3C 2J7","(416) 391-6770","(416) 481-6022","T","E","boother"," amanda","mirasol"," paul","HAMBLIN"," ANASTASIA","LAGMAN"," RUSSELL","LATCHANA"," JORDAN",,,,,,,,
"56","42371","Oakville            ","ON ","Oakville            ON ","L6L 6L4","(905) 842-8400","(905) 842-7385","T","E","Levy"," Kevin","Ackerman"," Kevin",,,,,,,,,,,,,,
"57","53138","Pointe-Claire       ","QC ","Pointe-Claire       QC ","H9R 4W6","(514) 694-1510","(514) 694-6262","T","E","Gouveia"," Michelle",,,,,,,,,,,,,,,,
"58","65018","Edmundston          ","NB ","Edmundston          NB ","E3V 1V7","(506) 735-4741","(506) 735-3604","T","E","Gibson"," Denis",,,,,,,,,,,,,,,,
"59","75003","Stellarton          ","NS ","Stellarton          NS ","B0K 1S0","(902) 752-4171","(902) 755-6782","T","E","Sheppard"," Chess",,,,,,,,,,,,,,,,
"60","75031","Bridgewater         ","NS ","Bridgewater         NS ","B4V 2V7","(902) 543-7168","(902) 543-1411","T","E","Demont"," Heidi","Lunn"," Alyssa",,,,,,,,,,,,,,
"61","75033","Dartmouth           ","NS ","Dartmouth           NS ","B2W 6L4","(902) 464-9550","(902) 464-9560","T","E","Poirier"," Kyle","Harris"," Mike","Rideout"," Steven",,,,,,,,,,,,
"62","75037","Sydney              ","NS ","Sydney              NS ","B1P 5T3","(902) 539-8930","(902) 562-5022","T","E","Nearing"," Brian",,,,,,,,,,,,,,,,
"63","85001","Summerside          ","PE ","Summerside          PE ","C1N 6V9","(902) 436-5800","(902) 436-0099","T","E","Gallant"," Doug","Arsenault"," Spencer",,,,,,,,,,,,,,
"64","95013","Gander              ","NL ","Gander              NL ","A1V 1Y9","(709) 256-7177","(709) 651-4431","T","E","Stokes"," Gregory",,,,,,,,,,,,,,,,
